# M2[GeV] M1[GeV] xsec[fb] uncertainty[fb]
 840  405     4.5119     0.0018
 840  430     4.5119     0.0018
 840  455     4.5119     0.0018
 840  480     4.5119     0.0018
 840  505     4.5118     0.0018
 840  530     4.5118     0.0018
 840  555     4.5118     0.0018
 840  580     4.5118     0.0018
 840  605     4.5118     0.0018
 840  630     4.5119     0.0018
 840  655     4.5119     0.0018
 840  680     4.5120     0.0018
 840  705     4.5122     0.0018
 840  730     4.5124     0.0018
 840  755     4.5130     0.0018
 840  780     4.5135     0.0018
 840  805     4.5083     0.0018
 840  830     4.5077     0.0017
 865    5     3.7956     0.0015
 865   30     3.7957     0.0015
 865   55     3.7956     0.0015
 865   80     3.7956     0.0015
 865  105     3.7955     0.0015
 865  130     3.7954     0.0015
 865  155     3.7954     0.0015
 865  180     3.7953     0.0015
 865  205     3.7952     0.0015
 865  230     3.7952     0.0015
 865  255     3.7951     0.0015
 865  280     3.7951     0.0015
 865  305     3.7951     0.0015
 865  330     3.7950     0.0015
 865  355     3.7950     0.0015
 865  380     3.7949     0.0015
 865  405     3.7949     0.0015
 865  430     3.7948     0.0015
 865  455     3.7948     0.0015
 865  480     3.7948     0.0015
 865  505     3.7948     0.0015
 865  530     3.7948     0.0015
 865  555     3.7947     0.0015
 865  580     3.7947     0.0015
 865  605     3.7947     0.0015
 865  630     3.7948     0.0015
 865  655     3.7948     0.0015
 865  680     3.7948     0.0015
 865  705     3.7949     0.0015
 865  730     3.7950     0.0015
 865  755     3.7953     0.0015
 865  780     3.7958     0.0015
 865  805     3.7961     0.0015
 865  830     3.7903     0.0015
 865  855     3.7914     0.0014
 890    5     3.2105     0.0013
 890   30     3.2106     0.0013
 890   55     3.2105     0.0013
 890   80     3.2105     0.0013
 890  105     3.2104     0.0013
 890  130     3.2103     0.0013
 890  155     3.2103     0.0013
 890  180     3.2102     0.0013
 890  205     3.2102     0.0013
 890  230     3.2101     0.0013
 890  255     3.2101     0.0013
 890  280     3.2100     0.0013
 890  305     3.2100     0.0013
 890  330     3.2099     0.0013
 890  355     3.2099     0.0013
 890  380     3.2099     0.0013
 890  405     3.2098     0.0013
 890  430     3.2098     0.0013
 890  455     3.2098     0.0013
 890  480     3.2097     0.0013
 890  505     3.2097     0.0013
 890  530     3.2097     0.0013
 890  555     3.2097     0.0013
 890  580     3.2097     0.0013
 890  605     3.2097     0.0013
 890  630     3.2097     0.0013
 890  655     3.2097     0.0013
 890  680     3.2097     0.0013
 890  705     3.2097     0.0013
 890  730     3.2098     0.0013
 890  755     3.2099     0.0013
 890  780     3.2102     0.0013
 890  805     3.2106     0.0013
 890  830     3.2108     0.0013
 890  855     3.2045     0.0013
 890  880     3.2077     0.0012
 915    5     2.7154     0.0011
 915   30     2.7155     0.0011
 915   55     2.7155     0.0011
 915   80     2.7154     0.0011
 915  105     2.7153     0.0011
 915  130     2.7153     0.0011
 915  155     2.7152     0.0011
 915  180     2.7152     0.0011
 915  205     2.7151     0.0011
